Detuning,Fluorescence,Fluorescenceerr
-10.97275950293988,26974.0,1146.989101953458
-10.840036048553884,27885.0,1147.3861599304744
-10.638852326781489,26402.0,1146.7397263546773
-10.400554819614626,25045.0,1146.1478962158417
-10.1197985970648,31753.0,1149.0704939210648
-9.866631575976498,28284.0,1147.5600202168077
-9.559492403175682,26034.0,1146.5792602345466
-9.22003111988306,24989.0,1146.1234662984612
-8.88961524341721,28774.0,1147.77349681895
-8.50193929974921,25024.0,1146.1387350578464
-8.243599070236087,28589.0,1147.6929031757581
-7.817907567834482,29418.0,1148.0540056983382
-7.414912057691254,28319.0,1147.5752698625045
-7.073409478529356,28627.0,1147.7094580075568
-6.620249239495024,30223.0,1148.40454544555
-6.324650970287621,29418.0,1148.0540056983382
-6.019006104907021,28167.0,1147.5090413587163
-5.5081005287356675,30775.0,1148.6448537298202
-5.0726718958467245,31691.0,1149.0435152769455
-5.047327273641713,27450.0,1147.1965829795695
-4.976684952504002,29799.0,1148.219926669103
-4.954339085379615,30810.0,1148.660088973235
-4.98012071440462,29309.0,1148.006533082456
-4.876194460550323,29295.0,1148.0004355399872
-4.773146840161644,30319.0,1148.4463418026983
-4.692098988336511,29152.0,1147.9381516440683
-4.610930426628329,28357.0,1147.5918263912479
-4.692610092461109,29369.0,1148.0326650405032
-4.655695839202963,27903.0,1147.3940038190892
-4.570274844765663,30221.0,1148.4036746719335
-4.513019061414525,30693.0,1148.609158939628
-4.506618167157285,28337.0,1147.583112458527
-4.492892808513716,29992.0,1148.3039667265807
-4.4163732011802495,29886.0,1148.2578107724762
-4.421024465467781,30179.0,1148.3853882734663
-4.2652416445780545,30240.0,1148.4119469946313
-4.209175661904737,29374.0,1148.034842676824
-4.294843931100331,27555.0,1147.242345801444
-4.257374767796136,28412.0,1147.6157893650645
-4.196129042422399,29687.0,1148.1711544887373
-4.109747934737243,28936.0,1147.8440660647248
-4.038985117920674,29605.0,1148.1354449715416
-4.065787457046099,31894.0,1149.1318462213114
-4.018032059655525,28857.0,1147.8096532091024
-3.998426428763196,28429.0,1147.6231960011962
-4.002875872538425,30226.0,1148.4058516047364
-3.874488737550564,28625.0,1147.7085867065734
-3.7323684620205313,28209.0,1147.5273417221917
-3.8364691644674167,30856.0,1148.6801121286987
-3.819552654516883,29260.0,1147.985191542121
-3.712438291637227,27560.0,1147.2445249379052
-3.6296902848407626,28030.0,1147.4493452871895
-3.574775573797524,30371.0,1148.4689808610417
-3.5958771507721394,29656.0,1148.157654679879
-3.5992804593406618,29318.0,1148.0104529140838
-3.4866248425096273,30813.0,1148.6613948418394
-3.449729245272465,31871.0,1149.1218386228677
-3.332758793490939,29518.0,1148.0975568304289
-3.424839454004541,31885.0,1149.1279302149087
-3.4512228067032993,28680.0,1147.7325472426057
-3.2245387635193765,25268.0,1146.2451744718492
-3.2726984282489866,28344.0,1147.5861623425058
-3.2260010922327638,30698.0,1148.6113354829822
-3.257133351638913,33241.0,1149.7177914601477
-3.060432402882725,30593.0,1148.5656272063866
-3.021411885507405,28649.0,1147.7190422747199
-3.0897784143453464,32092.0,1149.2179949861559
-3.143206091830507,30554.0,1148.5486493832118
-2.9533245833590627,29681.0,1148.1685416348944
-2.8880522286053747,29245.0,1147.9786583382115
-2.9146601072279736,31169.0,1148.816347376725
-2.809467861079611,31743.0,1149.0661425696956
-2.7550952247111127,32702.0,1149.4833622110414
-2.6758589898236096,32801.0,1149.5264242286908
-2.77151143620722,29675.0,1148.1659287751052
-2.705767235602252,28833.0,1147.799198466352
-2.593355483491905,19127.0,1143.5632907714378
-2.614037294522859,20454.0,1144.143347662346
-2.66106407425832,14378.0,1141.4849977113147
-2.4721758376108482,12265.0,1140.5590734372333
-2.470218965318054,18525.0,1143.3000481063577
-2.4561682803323492,26762.0,1146.896682356349
-2.3578474500682205,27097.0,1147.042719343966
-2.3327773577766493,34244.0,1150.1539027451936
-2.338070605415851,36675.0,1151.2102327550776
-2.3541943070013076,35504.0,1150.7015251575883
-2.172316000680439,49583.0,1156.8029218496986
-2.2009018007665873,48588.0,1156.3727772651862
-2.2241241715382785,56072.0,1159.6042428345975
-2.063732885522768,104847.0,1180.44779638915
-1.9624718355480582,110597.0,1182.880805491407
-2.143091813195497,112507.0,1183.6878811578667
-2.099489056854509,126369.0,1189.5288983458956
-1.9165682349121198,130516.0,1191.2707500816093
-1.8112368502188474,133273.0,1192.427356277941
-1.8462159027112648,204877.0,1222.0830577338022
-1.8422776546794921,471965.0,1326.866609723826
-1.7458687861217186,256656.0,1243.087285752694
-1.6723294927505776,181092.0,1212.312665940598
-1.8593172593973577,166925.0,1206.4555524344858
-1.5938351673539728,138362.0,1194.5593329759724
-1.6589232033584267,130412.0,1191.2270984157472
-1.5683736489154398,127326.0,1189.9310904417953
-1.5127086477587,73171.0,1166.9537265890194
-1.5450491447700188,68749.0,1165.0575093101627
-1.4950026819715276,98499.0,1177.7559169878962
-1.4048404506174847,354434.0,1281.8127788409663
-1.2698992147343233,245008.0,1238.3933139354394
-1.4480291320942342,131563.0,1191.7101157580228
-1.304098462453112,94691.0,1176.1381721549556
-1.305486804805696,57839.0,1160.3658905707287
-1.3482423083623871,44286.0,1154.5111519599973
-1.118872889666818,33180.0,1149.691262904959
-1.1642370234476402,28170.0,1147.5103485372147
-1.154880849760957,25863.0,1146.5046881718365
-1.1571337295463309,39321.0,1152.3588850700983
-0.9640214112587273,37398.0,1151.5242073009147
-1.0261453660205007,34492.0,1150.261709351398
-1.0815242623211816,34425.0,1150.2325851757114
-0.8666882981779054,29335.0,1148.0178570039755
-0.8884725327370688,19449.0,1143.704070116042
-0.8866547665093094,17894.0,1143.0240592393495
-0.7952124482253566,17419.0,1142.8162581972658
-0.7267554098507389,16133.0,1142.253474496795
-0.7425162803847343,24344.0,1145.8420484517053
-0.6570011853473261,16316.0,1142.3335765003146
-0.6461374044883996,19381.0,1143.674341759926
-0.638102215831168,28007.0,1147.4393230145113
-0.5494706495665014,23882.0,1145.640432247396
-0.38188892928883433,19962.0,1143.928319432647
-0.5903007509186864,27317.0,1147.1386141177534
-0.4198520384961739,11151.0,1140.070611848231
-0.38005897495895624,16264.0,1142.3108158465454
-0.3311277369502932,16690.0,1142.4972647669665
-0.3097280322108418,13502.0,1141.101222503946
-0.2551288242684677,15663.0,1142.0477222953514
-0.13558935665059835,17193.0,1142.717375382032
-0.19234545284416527,23327.0,1145.3981840390704
-0.10300976224243641,24938.0,1146.1012171706302
-0.08081166073679924,34516.0,1150.2721417125601
-0.144931421848014,39926.0,1152.6213602046423
0.027463951613754034,36648.0,1151.1985059059102
0.010245493613183498,35261.0,1150.5959325497374
-0.033643800765275955,33667.0,1149.903039390713
0.14912336063571274,36231.0,1151.0173760634545
0.18511097959708422,37783.0,1151.6913649064145
0.16036816488485783,39067.0,1152.2486710775586
0.10931190580595285,37103.0,1151.3961090780183
0.36603332008235157,39088.0,1152.2577836578064
0.3752955960808322,26163.0,1146.63551314269
0.39983237558044493,22053.0,1144.841910483714
0.4165252826642245,22516.0,1145.0441039540792
0.5685536453966051,22703.0,1145.125757286072
0.4004649070557207,27072.0,1147.0318217033039
0.6018951807636768,16885.0,1142.5826009527714
0.6533194944495335,22204.0,1144.9078565544041
0.6146973674185574,20063.0,1143.972464703587
0.686247686506249,22904.0,1145.2135172097821
0.7056318045360968,37054.0,1151.3748303658545
0.6553144403733313,36667.0,1151.2067581455558
0.8386174672050402,35891.0,1150.8696711617697
0.8957253503613174,37693.0,1151.6522912754526
0.8324661696096882,35497.0,1150.698483530764
0.8630716092884541,34865.0,1150.4238349408447
1.0351523079443723,37817.0,1151.706125710895
0.9564228499075398,35873.0,1150.8618509621388
1.0602704521734267,36030.0,1150.9300586916652
1.2091498437803239,36928.0,1151.3201118715854
1.1234488163609058,34094.0,1150.0886922320383
1.2142065872903913,33852.0,1149.9834781421862
