
12/09/2025, 12:54:43
Lambda (THz), Power (mW)
456777.186, 0.179
456777.186, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.184, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.186, 0.179
456777.185, 0.179
456777.186, 0.179
456777.185, 0.179
456777.186, 0.178
456777.186, 0.178
456777.187, 0.178
456777.187, 0.178
456777.187, 0.178
456777.187, 0.178
456777.187, 0.178
456777.187, 0.178
456777.187, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.177
456777.186, 0.177
456777.185, 0.177
456777.185, 0.177
456777.185, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.182, 0.176
456777.181, 0.176
456777.181, 0.176
456777.182, 0.176
456777.182, 0.176
456777.183, 0.176
456777.183, 0.176
456777.183, 0.176
456777.183, 0.176
456777.183, 0.176
456777.182, 0.176
456777.182, 0.176
456777.183, 0.176
456777.184, 0.176
456777.184, 0.176
456777.184, 0.175
456777.184, 0.175
456777.184, 0.175
456777.184, 0.175
456777.184, 0.175
456777.183, 0.175
456777.183, 0.175
456777.183, 0.175
456777.183, 0.175
456777.183, 0.175
456777.183, 0.175
456777.184, 0.175
456777.184, 0.175
456777.184, 0.175
456777.184, 0.175
456777.183, 0.175
456777.183, 0.176
456777.183, 0.176
456777.183, 0.176
456777.184, 0.176
456777.184, 0.176
456777.184, 0.176
456777.185, 0.176
456777.184, 0.176
456777.185, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.185, 0.177
456777.185, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.185, 0.177
456777.184, 0.176
456777.184, 0.176
456777.185, 0.176
456777.185, 0.176
456777.186, 0.176
456777.185, 0.176
456777.185, 0.176
456777.185, 0.176
456777.186, 0.176
456777.185, 0.176
456777.185, 0.176
456777.186, 0.176
456777.185, 0.177
456777.186, 0.177
456777.185, 0.177
456777.185, 0.177
456777.185, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.183, 0.177
456777.184, 0.177
456777.184, 0.177
456777.184, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.182, 0.178
456777.183, 0.178
456777.183, 0.179
456777.183, 0.179
456777.183, 0.179
456777.182, 0.179
456777.182, 0.179
456777.182, 0.179
456777.181, 0.179
456777.182, 0.179
456777.181, 0.179
456777.182, 0.179
456777.183, 0.179
456777.183, 0.179
456777.183, 0.179
456777.184, 0.179
456777.184, 0.179
456777.183, 0.179
456777.183, 0.179
456777.183, 0.179
456777.184, 0.179
456777.185, 0.179
456777.186, 0.179
456777.186, 0.179
456777.186, 0.179
456777.186, 0.179
456777.185, 0.179
456777.184, 0.179
456777.184, 0.179
456777.184, 0.179
456777.184, 0.179
456777.184, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.185, 0.179
456777.184, 0.179
456777.184, 0.178
456777.184, 0.178
456777.184, 0.178
456777.184, 0.178
456777.184, 0.178
456777.185, 0.178
456777.185, 0.178
456777.185, 0.178
456777.186, 0.178
456777.185, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.178
456777.186, 0.178
456777.187, 0.178
456777.186, 0.178
456777.187, 0.178
456777.187, 0.178
456777.187, 0.177
456777.187, 0.177
456777.187, 0.177
456777.187, 0.177
456777.187, 0.177
456777.187, 0.177
456777.186, 0.177
456777.186, 0.177
456777.186, 0.177
456777.186, 0.177
456777.186, 0.178
456777.185, 0.178
456777.185, 0.178
456777.185, 0.178
456777.185, 0.178
456777.184, 0.178
456777.184, 0.178
456777.184, 0.178
456777.184, 0.178
456777.184, 0.178
456777.183, 0.178
456777.183, 0.178
456777.184, 0.178
456777.183, 0.179
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.184, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.182, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.183, 0.178
456777.182, 0.178
456777.182, 0.178
456777.182, 0.178
456777.182, 0.178
456777.183, 0.178
456777.183, 0.178
456777.182, 0.178
456777.183, 0.178
456777.182, 0.178
456777.181, 0.178
456777.182, 0.178
456777.182, 0.178
456777.182, 0.178
456777.182, 0.178
456777.182, 0.178
456777.183, 0.178
456777.184, 0.178
456777.184, 0.178
