
01/28/2026, 15:27:12
Lambda (THz), Power (mW)
456779.170, 1.01
456779.174, 1.00
456779.174, 1.01
456779.170, 0.996
456779.170, 1.01
456779.173, 1.01
456779.171, 1.01
456779.168, 1.01
456779.173, 1.01
456779.169, 1.01
456779.176, 1.01
456779.170, 1.02
456779.167, 1.01
456779.171, 1.01
456779.170, 1.00
456779.175, 1.00
456779.170, 1.01
456779.173, 1.00
456779.166, 1.01
456779.174, 1.00
456779.173, 1.00
456779.166, 1.01
456779.167, 1.01
456779.174, 1.01
456779.177, 1.01
456779.170, 1.01
456779.175, 1.01
456779.167, 1.01
456779.164, 1.01
456779.174, 1.01
456779.165, 1.00
456779.163, 1.01
456779.170, 1.00
456779.165, 1.00
456779.166, 0.996
456779.174, 1.01
456779.169, 1.00
456779.176, 0.996
456779.177, 1.00
456779.170, 1.01
456779.174, 1.01
456779.170, 1.01
456779.169, 1.01
456779.172, 1.02
456779.172, 1.01
456779.169, 1.00
456779.176, 1.01
456779.165, 1.01
456779.170, 1.01
456779.180, 1.02
456779.176, 1.02
456779.173, 1.01
456779.172, 1.01
456779.171, 1.01
456779.174, 1.01
456779.166, 1.01
456779.171, 1.01
456779.173, 1.00
456779.173, 1.00
456779.174, 1.00
456779.176, 0.996
456779.166, 0.991
456779.172, 1.00
456779.179, 1.00
456779.174, 0.996
456779.175, 1.00
456779.178, 1.01
456779.170, 1.01
456779.175, 1.00
456779.175, 1.00
456779.167, 1.00
456779.169, 1.00
456779.175, 1.00
456779.175, 0.996
456779.178, 1.00
456779.174, 1.01
456779.176, 1.01
456779.184, 1.01
456779.176, 1.00
456779.173, 1.00
456779.163, 1.01
456779.176, 1.00
456779.173, 1.00
456779.178, 1.01
456779.184, 1.00
456779.164, 0.996
456779.185, 1.00
456779.180, 1.01
456779.173, 1.00
456779.175, 1.01
456779.174, 1.01
456779.185, 1.02
456779.177, 1.02
456779.179, 1.01
456779.179, 1.00
456779.175, 1.00
456779.179, 1.01
456779.182, 1.01
456779.181, 1.01
456779.181, 1.01
456779.180, 1.01
456779.184, 1.01
456779.183, 1.01
456779.177, 1.00
456779.180, 1.01
456779.177, 1.01
456779.180, 1.01
456779.174, 1.01
456779.178, 1.01
456779.179, 1.01
456779.179, 1.00
456779.187, 1.01
456779.175, 1.01
456779.183, 1.01
456779.177, 1.01
456779.180, 1.02
456779.172, 1.01
456779.186, 1.01
456779.183, 1.01
456779.186, 1.00
456779.185, 1.01
456779.177, 1.01
456779.177, 1.01
456779.172, 1.01
456779.176, 1.01
456779.181, 1.01
456779.183, 0.996
456779.176, 1.01
456779.179, 1.01
456779.178, 1.01
456779.173, 1.00
456779.170, 1.01
456779.178, 1.01
456779.187, 1.01
456779.182, 1.01
