time_s,CH1_V,CH2_V
-0.5,-0.0004,-0.0844
-0.49999,-0.0004,-0.0844
-0.49998,0.0004,-0.0844
-0.49997,-0.0012000000000000001,-0.0844
-0.49996,-0.0004,-0.0844
-0.49995,-0.0004,-0.0844
-0.49994,-0.0012000000000000001,-0.0844
-0.49993,0.0004,-0.0844
-0.49992,-0.0004,-0.0844
-0.49991,-0.0004,-0.0844
-0.4999,-0.0004,-0.0844
-0.49989,-0.0012000000000000001,-0.0844
-0.49988,-0.0004,-0.0844
-0.49987,0.0012000000000000001,-0.0844
-0.49986,0.0004,-0.0844
-0.49985,0.0004,-0.0844
-0.49984,-0.0004,-0.0844
-0.49983,-0.0004,-0.0844
-0.49982,-0.0004,-0.0844
-0.49981,-0.0004,-0.0844
-0.4998,-0.0004,-0.0844
-0.49979,-0.0012000000000000001,-0.0844
-0.49978,-0.0004,-0.0844
-0.49977,-0.0012000000000000001,-0.0844
-0.49976,-0.0004,-0.0844
-0.49975,-0.0004,-0.0844
-0.49974,-0.0004,-0.0844
-0.49973,0.0004,-0.0844
-0.49972,-0.0004,-0.0844
-0.49971,-0.0004,-0.0844
-0.4997,-0.0004,-0.0844
-0.49969,0.0012000000000000001,-0.0844
-0.49968,0.0012000000000000001,-0.0844
-0.49967,-0.0004,-0.0844
-0.49966,0.0012000000000000001,-0.0844
-0.49965,-0.002,-0.0844
-0.49964,0.0004,-0.0844
-0.49963,-0.0004,-0.0844
-0.49962,-0.0012000000000000001,-0.0844
-0.49961,0.0004,-0.0844
-0.4996,-0.0004,-0.0844
-0.49959,-0.0012000000000000001,-0.0844
-0.49958,0.0004,-0.0844
-0.49957,-0.0004,-0.0844
-0.49956,-0.0012000000000000001,-0.0844
-0.49955,-0.0012000000000000001,-0.0844
-0.49954,0.0004,-0.0844
-0.49953,-0.0004,-0.0844
-0.49952,0.0004,-0.0844
-0.49951,-0.0004,-0.0844
-0.4995,0.0012000000000000001,-0.0844
-0.49949,0.0004,-0.0844
-0.49948,0.0004,-0.0844
-0.49947,0.0004,-0.0844
-0.49946,0.0004,-0.0844
-0.49945,0.0004,-0.0844
-0.49944,-0.0004,-0.0844
-0.49943,-0.0012000000000000001,-0.0844
-0.49942,0.0004,-0.0844
-0.49941,-0.0012000000000000001,-0.0844
-0.4994,0.0004,-0.0844
-0.49939,-0.0012000000000000001,-0.0844
-0.49938,-0.002,-0.0844
-0.49937,-0.0004,-0.0844
-0.49936,0.0004,-0.0844
-0.49935,-0.0004,-0.0844
-0.49934,-0.0012000000000000001,-0.0844
-0.49933,0.0004,-0.0844
-0.49932,-0.0004,-0.0844
-0.49931,0.0004,-0.0844
-0.4993,-0.0012000000000000001,-0.0844
-0.49929,-0.0004,-0.0844
-0.49928,-0.0012000000000000001,-0.0844
-0.49927,-0.0012000000000000001,-0.0844
-0.49926,-0.0004,-0.0844
-0.49925,-0.0012000000000000001,-0.0844
-0.49924,0.0004,-0.0844
-0.49923,-0.0012000000000000001,-0.0844
-0.49922,0.0004,-0.0844
-0.49921,0.0004,-0.0844
-0.4992,0.0004,-0.0844
-0.49919,0.0004,-0.0844
-0.49918,-0.0004,-0.0844
-0.49917,-0.0004,-0.0844
-0.49916,-0.0012000000000000001,-0.0844
-0.49915,-0.0004,-0.0844
-0.49914,-0.0012000000000000001,-0.0844
-0.49913,-0.0004,-0.0844
-0.49912,-0.002,-0.0844
-0.49911,-0.0012000000000000001,-0.0844
-0.4991,-0.0012000000000000001,-0.0844
-0.49909,0.0004,-0.0844
-0.49908,0.0012000000000000001,-0.0844
-0.49907,-0.0012000000000000001,-0.0844
-0.49906,-0.0004,-0.0844
-0.49905,-0.0004,-0.0844
-0.49904,0.0004,-0.0844
-0.49903,-0.0004,-0.0844
-0.49902,-0.0012000000000000001,-0.0844
-0.49901,0.0004,-0.0844
-0.499,-0.0012000000000000001,-0.0844
-0.49899,-0.0004,-0.0844
-0.49898,-0.0004,-0.0844
-0.49897,-0.0012000000000000001,-0.0844
-0.49896,0.0004,-0.0844
-0.49895,-0.0004,-0.0844
-0.49894,-0.0012000000000000001,-0.0844
-0.49893,-0.0012000000000000001,-0.0844
-0.49892,-0.0004,-0.0844
-0.49891,0.0004,-0.0844
-0.4989,0.0004,-0.0844
-0.49889,0.0004,-0.0844
-0.49888,-0.0004,-0.0844
-0.49887,0.0004,-0.0844
-0.49886,-0.0004,-0.0844
-0.49885,-0.0004,-0.0844
-0.49884,0.0004,-0.0844
-0.49883,-0.0004,-0.0844
-0.49882,0.0004,-0.0844
-0.49881,0.0004,-0.0844
-0.4988,-0.0004,-0.0844
-0.49879,-0.0012000000000000001,-0.0844
-0.49878,-0.0004,-0.0844
-0.49877,-0.002,-0.0844
-0.49876,-0.0012000000000000001,-0.0844
-0.49875,-0.002,-0.0844
-0.49874,-0.0012000000000000001,-0.0844
-0.49873,0.0004,-0.0844
-0.49872,-0.0004,-0.0844
-0.49871,0.0004,-0.0844
-0.4987,-0.0004,-0.0844
-0.49869,-0.0012000000000000001,-0.0844
-0.49868,-0.0004,-0.0844
-0.49867,-0.0004,-0.0844
-0.49866,-0.0004,-0.0844
-0.49865,0.0004,-0.0844
-0.49863999999999997,0.0004,-0.0844
-0.49863,0.0004,-0.0844
-0.49862,-0.0012000000000000001,-0.0844
-0.49861,0.0004,-0.0844
-0.4986,0.0004,-0.0844
-0.49859,-0.0004,-0.0844
-0.49858,-0.0004,-0.0844
-0.49857,0.0004,-0.0844
-0.49856,-0.0012000000000000001,-0.0844
-0.49855,-0.0004,-0.0844
-0.49854,0.0004,-0.0844
-0.49853,-0.0028,-0.0844
-0.49852,0.0004,-0.0844
-0.49851,0.0004,-0.0844
-0.4985,-0.0012000000000000001,-0.0844
-0.49849,-0.0004,-0.0844
-0.49848,-0.0004,-0.0844
-0.49847,0.0004,-0.0844
-0.49846,-0.0012000000000000001,-0.0844
-0.49845,0.0012000000000000001,-0.0844
-0.49844,0.0012000000000000001,-0.0844
-0.49843,0.0012000000000000001,-0.0844
-0.49842,-0.0012000000000000001,-0.0844
-0.49841,0.0004,-0.0844
-0.4984,0.0004,-0.0844
-0.49839,-0.0004,-0.0844
-0.49838,0.0004,-0.0844
-0.49837,-0.0012000000000000001,-0.0844
-0.49836,-0.0012000000000000001,-0.0844
-0.49835,-0.0004,-0.0844
-0.49834,-0.0012000000000000001,-0.0844
-0.49833,0.0004,-0.0844
-0.49832,-0.0012000000000000001,-0.0844
-0.49831,0.0004,-0.0844
-0.4983,0.0004,-0.0844
-0.49829,0.002,-0.0844
-0.49828,0.0004,-0.0844
-0.49827,-0.0012000000000000001,-0.0844
-0.49826,-0.0004,-0.0844
-0.49825,-0.0004,-0.0844
-0.49824,-0.0012000000000000001,-0.0844
-0.49823,0.0004,-0.0844
-0.49822,-0.0012000000000000001,-0.0844
-0.49821,0.0004,-0.0844
-0.4982,-0.0004,-0.0844
-0.49819,-0.0004,-0.0844
-0.49818,-0.0012000000000000001,-0.0844
