parameter,status,value,error
Temp,FIT,155.1729628427845,2.608654128118824
AgNumberDensity,FIT,1.4415318016897146e+16,40960702482930.04
a,FIT,0.4332089250517176,0.0014345123087407946
shift107,DEFAULT,229.24,0.0
shift109,DEFAULT,-246.76,0.0
delta_f,FIT,0.9578438428153412,0.0017135311108154787
b0,FIT,1.015738761060306,0.0009405377918009931
b1,FIT,0.006886204300097821,0.00013580571336587756
b2,FIT,-0.0004092228654966797,4.477317347304652e-05
b3,FIT,-4.8855743499180766e-05,2.074071684941282e-06
b4,FIT,5.0203849438182876e-06,4.3757840485809034e-07
